,,30.Aug,2017
,Timezone,-7,
,,,
,Serial No.,7D00000041971C21,
,Location:,Site 1,
,High temperature limit (°C),70,
,Low temperature limit (°C),-30,
Date,Time,Temperature (°C),
08.26.2017,16:00:00,27,
08.26.2017,18:00:00,24.5,
08.26.2017,20:00:00,20,
08.26.2017,22:00:00,16,
08.27.2017,00:00:00,13.5,
08.27.2017,02:00:00,12,
08.27.2017,04:00:00,11,
08.27.2017,06:00:00,10,
08.27.2017,08:00:00,10,
08.27.2017,10:00:00,13,
08.27.2017,12:00:00,18,
08.27.2017,14:00:00,25.5,
08.27.2017,16:00:00,28.5,
08.27.2017,18:00:00,26,
08.27.2017,20:00:00,21.5,
08.27.2017,22:00:00,17.5,
08.28.2017,00:00:00,15,
08.28.2017,02:00:00,13.5,
08.28.2017,04:00:00,12.5,
08.28.2017,06:00:00,11,
08.28.2017,08:00:00,11,
08.28.2017,10:00:00,14,
08.28.2017,12:00:00,19,
08.28.2017,14:00:00,26.5,
08.28.2017,16:00:00,29,
08.28.2017,18:00:00,26.5,
08.28.2017,20:00:00,22,
08.28.2017,22:00:00,18,
08.29.2017,00:00:00,16,
08.29.2017,02:00:00,14,
08.29.2017,04:00:00,12.5,
08.29.2017,06:00:00,11,
08.29.2017,08:00:00,10.5,
08.29.2017,10:00:00,14,
08.29.2017,12:00:00,19.5,
08.29.2017,14:00:00,27,
08.29.2017,16:00:00,29,
08.29.2017,18:00:00,25.5,
08.29.2017,20:00:00,22,
08.29.2017,22:00:00,18.5,
08.30.2017,00:00:00,15.5,
08.30.2017,02:00:00,14,
08.30.2017,04:00:00,12.5,
08.30.2017,06:00:00,11.5,
08.30.2017,08:00:00,11.5,
-end-,-end-,,
