,,,30.Aug,2017
Timezone,Timezone,Timezone,-7,
,,,,
Serial No.,Serial No.,Serial No.,C700000041544721,
Location:,Location:,Location:,Site 13,
High temperature limit (°C),High temperature limit (°C),High temperature limit (°C),70,
Low temperature limit (°C),Low temperature limit (°C),Low temperature limit (°C),-30,
Date - Time,Date - Time,Date - Time,Temperature (°C),
42896.5,06.10.2017,12:00:00,17.5,
42896.58333,06.10.2017,14:00:00,17,
42896.66667,06.10.2017,16:00:00,19,
42896.75,06.10.2017,18:00:00,16.5,
42896.83333,06.10.2017,20:00:00,15,
42896.91667,06.10.2017,22:00:00,13,
42897,06.11.2017,00:00:00,12.5,
42897.08333,06.11.2017,02:00:00,12,
42897.16667,06.11.2017,04:00:00,12,
42897.25,06.11.2017,06:00:00,12,
42897.33333,06.11.2017,08:00:00,13.5,
42897.41667,06.11.2017,10:00:00,17,
42897.5,06.11.2017,12:00:00,21,
42897.58333,06.11.2017,14:00:00,29,
42897.66667,06.11.2017,16:00:00,32,
42897.75,06.11.2017,18:00:00,26.5,
42897.83333,06.11.2017,20:00:00,20.5,
42897.91667,06.11.2017,22:00:00,17.5,
42898,06.12.2017,00:00:00,14.5,
42898.08333,06.12.2017,02:00:00,13,
42898.16667,06.12.2017,04:00:00,12,
42898.25,06.12.2017,06:00:00,13,
42898.33333,06.12.2017,08:00:00,13.5,
42898.41667,06.12.2017,10:00:00,19.5,
42898.5,06.12.2017,12:00:00,26.5,
42898.58333,06.12.2017,14:00:00,30.5,
42898.66667,06.12.2017,16:00:00,35.5,
42898.75,06.12.2017,18:00:00,29.5,
42898.83333,06.12.2017,20:00:00,22.5,
42898.91667,06.12.2017,22:00:00,18,
42899,06.13.2017,00:00:00,16,
42899.08333,06.13.2017,02:00:00,14,
42899.16667,06.13.2017,04:00:00,13,
42899.25,06.13.2017,06:00:00,13,
42899.33333,06.13.2017,08:00:00,15,
42899.41667,06.13.2017,10:00:00,19,
42899.5,06.13.2017,12:00:00,21.5,
42899.58333,06.13.2017,14:00:00,30,
42899.66667,06.13.2017,16:00:00,33.5,
42899.75,06.13.2017,18:00:00,24.5,
42899.83333,06.13.2017,20:00:00,21,
42899.91667,06.13.2017,22:00:00,16.5,
42900,06.14.2017,00:00:00,15,
42900.08333,06.14.2017,02:00:00,14,
42900.16667,06.14.2017,04:00:00,13.5,
42900.25,06.14.2017,06:00:00,13,
42900.33333,06.14.2017,08:00:00,14.5,
42900.41667,06.14.2017,10:00:00,19,
42900.5,06.14.2017,12:00:00,24.5,
42900.58333,06.14.2017,14:00:00,21.5,
42900.66667,06.14.2017,16:00:00,27,
42900.75,06.14.2017,18:00:00,22.5,
42900.83333,06.14.2017,20:00:00,18,
42900.91667,06.14.2017,22:00:00,14,
42901,06.15.2017,00:00:00,11.5,
42901.08333,06.15.2017,02:00:00,10.5,
42901.16667,06.15.2017,04:00:00,9.5,
42901.25,06.15.2017,06:00:00,10.5,
42901.33333,06.15.2017,08:00:00,13.5,
42901.41667,06.15.2017,10:00:00,15.5,
42901.5,06.15.2017,12:00:00,16.5,
42901.58333,06.15.2017,14:00:00,19,
42901.66667,06.15.2017,16:00:00,16.5,
42901.75,06.15.2017,18:00:00,15,
42901.83333,06.15.2017,20:00:00,14,
42901.91667,06.15.2017,22:00:00,13.5,
42902,06.16.2017,00:00:00,12,
42902.08333,06.16.2017,02:00:00,11.5,
42902.16667,06.16.2017,04:00:00,11,
42902.25,06.16.2017,06:00:00,10,
42902.33333,06.16.2017,08:00:00,10.5,
42902.41667,06.16.2017,10:00:00,16.5,
42902.5,06.16.2017,12:00:00,21,
42902.58333,06.16.2017,14:00:00,23,
42902.66667,06.16.2017,16:00:00,17.5,
42902.75,06.16.2017,18:00:00,16.5,
42902.83333,06.16.2017,20:00:00,14.5,
42902.91667,06.16.2017,22:00:00,12.5,
42903,06.17.2017,00:00:00,10.5,
42903.08333,06.17.2017,02:00:00,9.5,
42903.16667,06.17.2017,04:00:00,8.5,
42903.25,06.17.2017,06:00:00,8.5,
42903.33333,06.17.2017,08:00:00,10,
42903.41667,06.17.2017,10:00:00,15.5,
42903.5,06.17.2017,12:00:00,21.5,
42903.58333,06.17.2017,14:00:00,25,
42903.66667,06.17.2017,16:00:00,23,
42903.75,06.17.2017,18:00:00,21,
42903.83333,06.17.2017,20:00:00,16.5,
42903.91667,06.17.2017,22:00:00,14,
42904,06.18.2017,00:00:00,12.5,
42904.08333,06.18.2017,02:00:00,12,
42904.16667,06.18.2017,04:00:00,11,
42904.25,06.18.2017,06:00:00,9.5,
42904.33333,06.18.2017,08:00:00,11,
42904.41667,06.18.2017,10:00:00,16,
42904.5,06.18.2017,12:00:00,22.5,
42904.58333,06.18.2017,14:00:00,25,
42904.66667,06.18.2017,16:00:00,22,
42904.75,06.18.2017,18:00:00,21,
42904.83333,06.18.2017,20:00:00,18.5,
42904.91667,06.18.2017,22:00:00,16,
42905,06.19.2017,00:00:00,14.5,
42905.08333,06.19.2017,02:00:00,13.5,
42905.16667,06.19.2017,04:00:00,12.5,
42905.25,06.19.2017,06:00:00,12,
42905.33333,06.19.2017,08:00:00,14.5,
42905.41667,06.19.2017,10:00:00,17.5,
42905.5,06.19.2017,12:00:00,18.5,
42905.58333,06.19.2017,14:00:00,20.5,
42905.66667,06.19.2017,16:00:00,20.5,
42905.75,06.19.2017,18:00:00,21,
42905.83333,06.19.2017,20:00:00,18,
42905.91667,06.19.2017,22:00:00,16,
42906,06.20.2017,00:00:00,13.5,
42906.08333,06.20.2017,02:00:00,12.5,
42906.16667,06.20.2017,04:00:00,12.5,
42906.25,06.20.2017,06:00:00,13,
42906.33333,06.20.2017,08:00:00,14.5,
42906.41667,06.20.2017,10:00:00,19,
42906.5,06.20.2017,12:00:00,25.5,
42906.58333,06.20.2017,14:00:00,21,
42906.66667,06.20.2017,16:00:00,25.5,
42906.75,06.20.2017,18:00:00,23.5,
42906.83333,06.20.2017,20:00:00,18.5,
42906.91667,06.20.2017,22:00:00,15,
42907,06.21.2017,00:00:00,13.5,
42907.08333,06.21.2017,02:00:00,12,
42907.16667,06.21.2017,04:00:00,11,
42907.25,06.21.2017,06:00:00,10,
42907.33333,06.21.2017,08:00:00,11.5,
42907.41667,06.21.2017,10:00:00,15.5,
42907.5,06.21.2017,12:00:00,19.5,
42907.58333,06.21.2017,14:00:00,19,
42907.66667,06.21.2017,16:00:00,18,
42907.75,06.21.2017,18:00:00,19.5,
42907.83333,06.21.2017,20:00:00,16.5,
42907.91667,06.21.2017,22:00:00,13.5,
42908,06.22.2017,00:00:00,11.5,
42908.08333,06.22.2017,02:00:00,10,
42908.16667,06.22.2017,04:00:00,10,
42908.25,06.22.2017,06:00:00,9.5,
42908.33333,06.22.2017,08:00:00,10.5,
42908.41667,06.22.2017,10:00:00,17.5,
42908.5,06.22.2017,12:00:00,22.5,
42908.58333,06.22.2017,14:00:00,24.5,
42908.66667,06.22.2017,16:00:00,25,
42908.75,06.22.2017,18:00:00,22,
42908.83333,06.22.2017,20:00:00,18,
42908.91667,06.22.2017,22:00:00,14,
42909,06.23.2017,00:00:00,12,
42909.08333,06.23.2017,02:00:00,11,
42909.16667,06.23.2017,04:00:00,10,
42909.25,06.23.2017,06:00:00,9.5,
42909.33333,06.23.2017,08:00:00,11,
42909.41667,06.23.2017,10:00:00,18,
42909.5,06.23.2017,12:00:00,25.5,
42909.58333,06.23.2017,14:00:00,31.5,
42909.66667,06.23.2017,16:00:00,36,
42909.75,06.23.2017,18:00:00,29.5,
42909.83333,06.23.2017,20:00:00,22,
42909.91667,06.23.2017,22:00:00,17,
42910,06.24.2017,00:00:00,14.5,
42910.08333,06.24.2017,02:00:00,13,
42910.16667,06.24.2017,04:00:00,12,
42910.25,06.24.2017,06:00:00,11.5,
42910.33333,06.24.2017,08:00:00,13,
42910.41667,06.24.2017,10:00:00,20.5,
42910.5,06.24.2017,12:00:00,28,
42910.58333,06.24.2017,14:00:00,35.5,
42910.66667,06.24.2017,16:00:00,38.5,
42910.75,06.24.2017,18:00:00,31,
42910.83333,06.24.2017,20:00:00,24,
42910.91667,06.24.2017,22:00:00,19.5,
42911,06.25.2017,00:00:00,17,
42911.08333,06.25.2017,02:00:00,15.5,
42911.16667,06.25.2017,04:00:00,14.5,
42911.25,06.25.2017,06:00:00,13.5,
42911.33333,06.25.2017,08:00:00,15,
42911.41667,06.25.2017,10:00:00,22.5,
42911.5,06.25.2017,12:00:00,24.5,
42911.58333,06.25.2017,14:00:00,30,
42911.66667,06.25.2017,16:00:00,32,
42911.75,06.25.2017,18:00:00,29,
42911.83333,06.25.2017,20:00:00,24.5,
42911.91667,06.25.2017,22:00:00,21,
42912,06.26.2017,00:00:00,19.5,
42912.08333,06.26.2017,02:00:00,18,
42912.16667,06.26.2017,04:00:00,17.5,
42912.25,06.26.2017,06:00:00,17,
42912.33333,06.26.2017,08:00:00,18.5,
42912.41667,06.26.2017,10:00:00,23,
42912.5,06.26.2017,12:00:00,25.5,
42912.58333,06.26.2017,14:00:00,27.5,
42912.66667,06.26.2017,16:00:00,36,
42912.75,06.26.2017,18:00:00,31,
42912.83333,06.26.2017,20:00:00,24.5,
42912.91667,06.26.2017,22:00:00,20,
42913,06.27.2017,00:00:00,18,
42913.08333,06.27.2017,02:00:00,16,
42913.16667,06.27.2017,04:00:00,14.5,
42913.25,06.27.2017,06:00:00,13,
42913.33333,06.27.2017,08:00:00,14,
42913.41667,06.27.2017,10:00:00,21,
42913.5,06.27.2017,12:00:00,28,
42913.58333,06.27.2017,14:00:00,35,
42913.66667,06.27.2017,16:00:00,39,
42913.75,06.27.2017,18:00:00,32,
42913.83333,06.27.2017,20:00:00,25,
42913.91667,06.27.2017,22:00:00,20.5,
42914,06.28.2017,00:00:00,17.5,
42914.08333,06.28.2017,02:00:00,16,
42914.16667,06.28.2017,04:00:00,14.5,
42914.25,06.28.2017,06:00:00,14,
42914.33333,06.28.2017,08:00:00,15.5,
42914.41667,06.28.2017,10:00:00,22.5,
42914.5,06.28.2017,12:00:00,22,
42914.58333,06.28.2017,14:00:00,21,
42914.66667,06.28.2017,16:00:00,20.5,
42914.75,06.28.2017,18:00:00,20.5,
42914.83333,06.28.2017,20:00:00,19.5,
42914.91667,06.28.2017,22:00:00,15.5,
42915,06.29.2017,00:00:00,14,
42915.08333,06.29.2017,02:00:00,13,
42915.16667,06.29.2017,04:00:00,12,
42915.25,06.29.2017,06:00:00,11.5,
42915.33333,06.29.2017,08:00:00,13.5,
42915.41667,06.29.2017,10:00:00,20.5,
42915.5,06.29.2017,12:00:00,27.5,
42915.58333,06.29.2017,14:00:00,34.5,
42915.66667,06.29.2017,16:00:00,38.5,
42915.75,06.29.2017,18:00:00,33.5,
42915.83333,06.29.2017,20:00:00,26.5,
42915.91667,06.29.2017,22:00:00,21,
42916,06.30.2017,00:00:00,18.5,
42916.08333,06.30.2017,02:00:00,16.5,
