,,,30.Aug,2017
42916.16667,06.30.2017,04:00:00,15.5,
42916.25,06.30.2017,06:00:00,15,
42916.33333,06.30.2017,08:00:00,16.5,
42916.41667,06.30.2017,10:00:00,23.5,
42916.5,06.30.2017,12:00:00,30,
42916.58333,06.30.2017,14:00:00,37,
42916.66667,06.30.2017,16:00:00,38,
42916.75,06.30.2017,18:00:00,31,
42916.83333,06.30.2017,20:00:00,26.5,
42916.91667,06.30.2017,22:00:00,22,
42917,07.01.2017,00:00:00,20,
42917.08333,07.01.2017,02:00:00,18.5,
42917.16667,07.01.2017,04:00:00,17,
42917.25,07.01.2017,06:00:00,15.5,
42917.33333,07.01.2017,08:00:00,17,
42917.41667,07.01.2017,10:00:00,24.5,
42917.5,07.01.2017,12:00:00,31,
42917.58333,07.01.2017,14:00:00,36,
42917.66667,07.01.2017,16:00:00,41,
42917.75,07.01.2017,18:00:00,36,
42917.83333,07.01.2017,20:00:00,28.5,
42917.91667,07.01.2017,22:00:00,23,
42918,07.02.2017,00:00:00,20,
42918.08333,07.02.2017,02:00:00,18.5,
42918.16667,07.02.2017,04:00:00,17,
42918.25,07.02.2017,06:00:00,16,
42918.33333,07.02.2017,08:00:00,17.5,
42918.41667,07.02.2017,10:00:00,24.5,
42918.5,07.02.2017,12:00:00,31,
42918.58333,07.02.2017,14:00:00,37.5,
42918.66667,07.02.2017,16:00:00,41,
42918.75,07.02.2017,18:00:00,35.5,
42918.83333,07.02.2017,20:00:00,27.5,
42918.91667,07.02.2017,22:00:00,23,
42919,07.03.2017,00:00:00,20.5,
42919.08333,07.03.2017,02:00:00,18,
42919.16667,07.03.2017,04:00:00,16,
42919.25,07.03.2017,06:00:00,15.5,
42919.33333,07.03.2017,08:00:00,17,
42919.41667,07.03.2017,10:00:00,24,
42919.5,07.03.2017,12:00:00,29.5,
42919.58333,07.03.2017,14:00:00,34.5,
42919.66667,07.03.2017,16:00:00,30,
42919.75,07.03.2017,18:00:00,27.5,
42919.83333,07.03.2017,20:00:00,23.5,
42919.91667,07.03.2017,22:00:00,19.5,
42920,07.04.2017,00:00:00,17,
42920.08333,07.04.2017,02:00:00,15.5,
42920.16667,07.04.2017,04:00:00,14,
42920.25,07.04.2017,06:00:00,13.5,
42920.33333,07.04.2017,08:00:00,15,
42920.41667,07.04.2017,10:00:00,23,
42920.5,07.04.2017,12:00:00,29,
42920.58333,07.04.2017,14:00:00,35.5,
42920.66667,07.04.2017,16:00:00,40.5,
42920.75,07.04.2017,18:00:00,35,
42920.83333,07.04.2017,20:00:00,27.5,
42920.91667,07.04.2017,22:00:00,21,
42921,07.05.2017,00:00:00,18,
42921.08333,07.05.2017,02:00:00,16.5,
42921.16667,07.05.2017,04:00:00,15,
42921.25,07.05.2017,06:00:00,14.5,
42921.33333,07.05.2017,08:00:00,16,
42921.41667,07.05.2017,10:00:00,23.5,
42921.5,07.05.2017,12:00:00,30.5,
42921.58333,07.05.2017,14:00:00,38.5,
42921.66667,07.05.2017,16:00:00,43,
42921.75,07.05.2017,18:00:00,37,
42921.83333,07.05.2017,20:00:00,28.5,
42921.91667,07.05.2017,22:00:00,23,
42922,07.06.2017,00:00:00,19.5,
42922.08333,07.06.2017,02:00:00,17.5,
42922.16667,07.06.2017,04:00:00,16.5,
42922.25,07.06.2017,06:00:00,15.5,
42922.33333,07.06.2017,08:00:00,17.5,
42922.41667,07.06.2017,10:00:00,25.5,
42922.5,07.06.2017,12:00:00,32,
42922.58333,07.06.2017,14:00:00,40,
42922.66667,07.06.2017,16:00:00,44.5,
42922.75,07.06.2017,18:00:00,39,
42922.83333,07.06.2017,20:00:00,30.5,
42922.91667,07.06.2017,22:00:00,24,
42923,07.07.2017,00:00:00,21,
42923.08333,07.07.2017,02:00:00,19.5,
42923.16667,07.07.2017,04:00:00,18,
42923.25,07.07.2017,06:00:00,17,
42923.33333,07.07.2017,08:00:00,19,
42923.41667,07.07.2017,10:00:00,26.5,
42923.5,07.07.2017,12:00:00,32.5,
42923.58333,07.07.2017,14:00:00,35.5,
42923.66667,07.07.2017,16:00:00,29.5,
42923.75,07.07.2017,18:00:00,32.5,
42923.83333,07.07.2017,20:00:00,26.5,
42923.91667,07.07.2017,22:00:00,21.5,
42924,07.08.2017,00:00:00,19,
42924.08333,07.08.2017,02:00:00,17.5,
42924.16667,07.08.2017,04:00:00,16.5,
42924.25,07.08.2017,06:00:00,16,
42924.33333,07.08.2017,08:00:00,18,
42924.41667,07.08.2017,10:00:00,24,
42924.5,07.08.2017,12:00:00,30.5,
42924.58333,07.08.2017,14:00:00,37,
42924.66667,07.08.2017,16:00:00,37.5,
42924.75,07.08.2017,18:00:00,31.5,
42924.83333,07.08.2017,20:00:00,26.5,
42924.91667,07.08.2017,22:00:00,21.5,
42925,07.09.2017,00:00:00,18,
42925.08333,07.09.2017,02:00:00,16.5,
42925.16667,07.09.2017,04:00:00,17,
42925.25,07.09.2017,06:00:00,17,
42925.33333,07.09.2017,08:00:00,20,
42925.41667,07.09.2017,10:00:00,23,
42925.5,07.09.2017,12:00:00,29,
42925.58333,07.09.2017,14:00:00,39.5,
42925.66667,07.09.2017,16:00:00,41,
42925.75,07.09.2017,18:00:00,37,
42925.83333,07.09.2017,20:00:00,28.5,
42925.91667,07.09.2017,22:00:00,23,
42926,07.10.2017,00:00:00,20,
42926.08333,07.10.2017,02:00:00,18,
42926.16667,07.10.2017,04:00:00,17,
42926.25,07.10.2017,06:00:00,16,
42926.33333,07.10.2017,08:00:00,17.5,
42926.41667,07.10.2017,10:00:00,22,
42926.5,07.10.2017,12:00:00,28,
42926.58333,07.10.2017,14:00:00,32.5,
42926.66667,07.10.2017,16:00:00,36,
42926.75,07.10.2017,18:00:00,32,
42926.83333,07.10.2017,20:00:00,25,
42926.91667,07.10.2017,22:00:00,21.5,
42927,07.11.2017,00:00:00,20,
42927.08333,07.11.2017,02:00:00,19,
42927.16667,07.11.2017,04:00:00,18.5,
42927.25,07.11.2017,06:00:00,17.5,
42927.33333,07.11.2017,08:00:00,18.5,
42927.41667,07.11.2017,10:00:00,23.5,
42927.5,07.11.2017,12:00:00,29,
42927.58333,07.11.2017,14:00:00,35,
42927.66667,07.11.2017,16:00:00,37,
42927.75,07.11.2017,18:00:00,32,
42927.83333,07.11.2017,20:00:00,26,
42927.91667,07.11.2017,22:00:00,21,
42928,07.12.2017,00:00:00,18.5,
42928.08333,07.12.2017,02:00:00,18,
42928.16667,07.12.2017,04:00:00,17,
42928.25,07.12.2017,06:00:00,15.5,
42928.33333,07.12.2017,08:00:00,16.5,
42928.41667,07.12.2017,10:00:00,24,
42928.5,07.12.2017,12:00:00,31,
42928.58333,07.12.2017,14:00:00,39.5,
42928.66667,07.12.2017,16:00:00,42.5,
42928.75,07.12.2017,18:00:00,36,
42928.83333,07.12.2017,20:00:00,28.5,
42928.91667,07.12.2017,22:00:00,23.5,
42929,07.13.2017,00:00:00,21,
42929.08333,07.13.2017,02:00:00,18.5,
42929.16667,07.13.2017,04:00:00,17,
42929.25,07.13.2017,06:00:00,16,
42929.33333,07.13.2017,08:00:00,17.5,
42929.41667,07.13.2017,10:00:00,24,
42929.5,07.13.2017,12:00:00,30.5,
42929.58333,07.13.2017,14:00:00,39.5,
42929.66667,07.13.2017,16:00:00,41.5,
42929.75,07.13.2017,18:00:00,37,
42929.83333,07.13.2017,20:00:00,28,
42929.91667,07.13.2017,22:00:00,22.5,
42930,07.14.2017,00:00:00,18.5,
42930.08333,07.14.2017,02:00:00,16.5,
42930.16667,07.14.2017,04:00:00,15,
42930.25,07.14.2017,06:00:00,14.5,
42930.33333,07.14.2017,08:00:00,16,
42930.41667,07.14.2017,10:00:00,24,
42930.5,07.14.2017,12:00:00,31,
42930.58333,07.14.2017,14:00:00,40,
42930.66667,07.14.2017,16:00:00,44.5,
42930.75,07.14.2017,18:00:00,38,
42930.83333,07.14.2017,20:00:00,29,
42930.91667,07.14.2017,22:00:00,24,
42931,07.15.2017,00:00:00,22,
42931.08333,07.15.2017,02:00:00,20.5,
42931.16667,07.15.2017,04:00:00,18.5,
42931.25,07.15.2017,06:00:00,17.5,
42931.33333,07.15.2017,08:00:00,19.5,
42931.41667,07.15.2017,10:00:00,26.5,
42931.5,07.15.2017,12:00:00,33,
42931.58333,07.15.2017,14:00:00,41,
42931.66667,07.15.2017,16:00:00,44,
42931.75,07.15.2017,18:00:00,36,
42931.83333,07.15.2017,20:00:00,27.5,
42931.91667,07.15.2017,22:00:00,22.5,
42932,07.16.2017,00:00:00,20,
42932.08333,07.16.2017,02:00:00,18,
42932.16667,07.16.2017,04:00:00,17,
42932.25,07.16.2017,06:00:00,17,
42932.33333,07.16.2017,08:00:00,17.5,
42932.41667,07.16.2017,10:00:00,22.5,
42932.5,07.16.2017,12:00:00,27.5,
42932.58333,07.16.2017,14:00:00,31.5,
42932.66667,07.16.2017,16:00:00,30,
42932.75,07.16.2017,18:00:00,28,
42932.83333,07.16.2017,20:00:00,22.5,
42932.91667,07.16.2017,22:00:00,19.5,
42933,07.17.2017,00:00:00,17,
42933.08333,07.17.2017,02:00:00,17,
42933.16667,07.17.2017,04:00:00,15,
42933.25,07.17.2017,06:00:00,14,
42933.33333,07.17.2017,08:00:00,15.5,
42933.41667,07.17.2017,10:00:00,20.5,
42933.5,07.17.2017,12:00:00,26,
42933.58333,07.17.2017,14:00:00,31,
42933.66667,07.17.2017,16:00:00,33,
42933.75,07.17.2017,18:00:00,29,
42933.83333,07.17.2017,20:00:00,23,
42933.91667,07.17.2017,22:00:00,18,
42934,07.18.2017,00:00:00,15.5,
42934.08333,07.18.2017,02:00:00,14.5,
42934.16667,07.18.2017,04:00:00,13,
42934.25,07.18.2017,06:00:00,12.5,
42934.33333,07.18.2017,08:00:00,15,
42934.41667,07.18.2017,10:00:00,21.5,
42934.5,07.18.2017,12:00:00,28.5,
42934.58333,07.18.2017,14:00:00,36,
42934.66667,07.18.2017,16:00:00,39.5,
42934.75,07.18.2017,18:00:00,33,
42934.83333,07.18.2017,20:00:00,26.5,
42934.91667,07.18.2017,22:00:00,20.5,
42935,07.19.2017,00:00:00,18,
42935.08333,07.19.2017,02:00:00,16,
42935.16667,07.19.2017,04:00:00,15,
42935.25,07.19.2017,06:00:00,14.5,
42935.33333,07.19.2017,08:00:00,17,
42935.41667,07.19.2017,10:00:00,22,
42935.5,07.19.2017,12:00:00,28,
42935.58333,07.19.2017,14:00:00,36.5,
42935.66667,07.19.2017,16:00:00,40.5,
42935.75,07.19.2017,18:00:00,35.5,
42935.83333,07.19.2017,20:00:00,27.5,
42935.91667,07.19.2017,22:00:00,23,
42936,07.20.2017,00:00:00,21.5,
42936.08333,07.20.2017,02:00:00,20,
42936.16667,07.20.2017,04:00:00,18.5,
42936.25,07.20.2017,06:00:00,17.5,
42936.33333,07.20.2017,08:00:00,18,
42936.41667,07.20.2017,10:00:00,22.5,
42936.5,07.20.2017,12:00:00,25,
42936.58333,07.20.2017,14:00:00,23.5,
42936.66667,07.20.2017,16:00:00,20.5,
42936.75,07.20.2017,18:00:00,19,
42936.83333,07.20.2017,20:00:00,17.5,
42936.91667,07.20.2017,22:00:00,16.5,
42937,07.21.2017,00:00:00,15.5,
42937.08333,07.21.2017,02:00:00,14,
42937.16667,07.21.2017,04:00:00,14,
42937.25,07.21.2017,06:00:00,14.5,
42937.33333,07.21.2017,08:00:00,15,
42937.41667,07.21.2017,10:00:00,19,
42937.5,07.21.2017,12:00:00,23.5,
42937.58333,07.21.2017,14:00:00,24.5,
42937.66667,07.21.2017,16:00:00,23.5,
42937.75,07.21.2017,18:00:00,21.5,
42937.83333,07.21.2017,20:00:00,20,
42937.91667,07.21.2017,22:00:00,17,
42938,07.22.2017,00:00:00,16,
42938.08333,07.22.2017,02:00:00,15.5,
42938.16667,07.22.2017,04:00:00,14.5,
42938.25,07.22.2017,06:00:00,15,
42938.33333,07.22.2017,08:00:00,16.5,
42938.41667,07.22.2017,10:00:00,18.5,
42938.5,07.22.2017,12:00:00,23,
42938.58333,07.22.2017,14:00:00,26.5,
42938.66667,07.22.2017,16:00:00,31,
42938.75,07.22.2017,18:00:00,26,
42938.83333,07.22.2017,20:00:00,22.5,
42938.91667,07.22.2017,22:00:00,19.5,
42939,07.23.2017,00:00:00,18,
42939.08333,07.23.2017,02:00:00,16,
42939.16667,07.23.2017,04:00:00,15,
42939.25,07.23.2017,06:00:00,14,
42939.33333,07.23.2017,08:00:00,15,
42939.41667,07.23.2017,10:00:00,20,
42939.5,07.23.2017,12:00:00,25,
42939.58333,07.23.2017,14:00:00,33,
42939.66667,07.23.2017,16:00:00,26,
42939.75,07.23.2017,18:00:00,24.5,
42939.83333,07.23.2017,20:00:00,21,
42939.91667,07.23.2017,22:00:00,17.5,
42940,07.24.2017,00:00:00,15,
42940.08333,07.24.2017,02:00:00,14,
42940.16667,07.24.2017,04:00:00,13,
42940.25,07.24.2017,06:00:00,12,
42940.33333,07.24.2017,08:00:00,13.5,
42940.41667,07.24.2017,10:00:00,18,
42940.5,07.24.2017,12:00:00,25,
42940.58333,07.24.2017,14:00:00,30.5,
42940.66667,07.24.2017,16:00:00,33.5,
42940.75,07.24.2017,18:00:00,29.5,
42940.83333,07.24.2017,20:00:00,23.5,
42940.91667,07.24.2017,22:00:00,19,
42941,07.25.2017,00:00:00,16.5,
42941.08333,07.25.2017,02:00:00,15,
42941.16667,07.25.2017,04:00:00,14,
42941.25,07.25.2017,06:00:00,13.5,
42941.33333,07.25.2017,08:00:00,14.5,
42941.41667,07.25.2017,10:00:00,19.5,
42941.5,07.25.2017,12:00:00,26,
42941.58333,07.25.2017,14:00:00,33,
42941.66667,07.25.2017,16:00:00,36,
42941.75,07.25.2017,18:00:00,31.5,
42941.83333,07.25.2017,20:00:00,25.5,
42941.91667,07.25.2017,22:00:00,20.5,
42942,07.26.2017,00:00:00,18.5,
42942.08333,07.26.2017,02:00:00,17,
42942.16667,07.26.2017,04:00:00,16,
42942.25,07.26.2017,06:00:00,15,
42942.33333,07.26.2017,08:00:00,16,
42942.41667,07.26.2017,10:00:00,22,
42942.5,07.26.2017,12:00:00,28.5,
42942.58333,07.26.2017,14:00:00,34,
42942.66667,07.26.2017,16:00:00,38,
42942.75,07.26.2017,18:00:00,29,
42942.83333,07.26.2017,20:00:00,25,
42942.91667,07.26.2017,22:00:00,22,
42943,07.27.2017,00:00:00,20,
42943.08333,07.27.2017,02:00:00,19,
42943.16667,07.27.2017,04:00:00,17,
42943.25,07.27.2017,06:00:00,16,
42943.33333,07.27.2017,08:00:00,17,
42943.41667,07.27.2017,10:00:00,23,
42943.5,07.27.2017,12:00:00,29.5,
42943.58333,07.27.2017,14:00:00,34.5,
42943.66667,07.27.2017,16:00:00,38.5,
42943.75,07.27.2017,18:00:00,33.5,
42943.83333,07.27.2017,20:00:00,26.5,
42943.91667,07.27.2017,22:00:00,22,
42944,07.28.2017,00:00:00,19,
42944.08333,07.28.2017,02:00:00,17.5,
42944.16667,07.28.2017,04:00:00,16,
42944.25,07.28.2017,06:00:00,15,
42944.33333,07.28.2017,08:00:00,17.5,
42944.41667,07.28.2017,10:00:00,23,
42944.5,07.28.2017,12:00:00,29.5,
42944.58333,07.28.2017,14:00:00,37,
42944.66667,07.28.2017,16:00:00,39,
42944.75,07.28.2017,18:00:00,34,
42944.83333,07.28.2017,20:00:00,27,
42944.91667,07.28.2017,22:00:00,21.5,
42945,07.29.2017,00:00:00,19,
42945.08333,07.29.2017,02:00:00,17.5,
42945.16667,07.29.2017,04:00:00,16,
42945.25,07.29.2017,06:00:00,15.5,
42945.33333,07.29.2017,08:00:00,17,
42945.41667,07.29.2017,10:00:00,23.5,
42945.5,07.29.2017,12:00:00,31,
42945.58333,07.29.2017,14:00:00,40,
42945.66667,07.29.2017,16:00:00,43,
42945.75,07.29.2017,18:00:00,37,
42945.83333,07.29.2017,20:00:00,29,
42945.91667,07.29.2017,22:00:00,24.5,
42946,07.30.2017,00:00:00,22,
42946.08333,07.30.2017,02:00:00,21,
42946.16667,07.30.2017,04:00:00,19.5,
42946.25,07.30.2017,06:00:00,18,
42946.33333,07.30.2017,08:00:00,20,
42946.41667,07.30.2017,10:00:00,25,
42946.5,07.30.2017,12:00:00,32.5,
42946.58333,07.30.2017,14:00:00,41,
42946.66667,07.30.2017,16:00:00,44.5,
42946.75,07.30.2017,18:00:00,34.5,
42946.83333,07.30.2017,20:00:00,28.5,
42946.91667,07.30.2017,22:00:00,22.5,
42947,07.31.2017,00:00:00,20,
42947.08333,07.31.2017,02:00:00,19,
42947.16667,07.31.2017,04:00:00,18,
42947.25,07.31.2017,06:00:00,17,
42947.33333,07.31.2017,08:00:00,18.5,
42947.41667,07.31.2017,10:00:00,23.5,
42947.5,07.31.2017,12:00:00,30,
42947.58333,07.31.2017,14:00:00,36,
42947.66667,07.31.2017,16:00:00,38.5,
