,,,30.Aug,2017
42915.83403,06.29.2017,20:01:00,23,
42915.91736,06.29.2017,22:01:00,19,
42916.00069,06.30.2017,00:01:00,17,
42916.08403,06.30.2017,02:01:00,15.5,
42916.16736,06.30.2017,04:01:00,14.5,
42916.25069,06.30.2017,06:01:00,14,
42916.33403,06.30.2017,08:01:00,17,
42916.41736,06.30.2017,10:01:00,22,
42916.50069,06.30.2017,12:01:00,31.5,
42916.58403,06.30.2017,14:01:00,37,
42916.66736,06.30.2017,16:01:00,34.5,
42916.75069,06.30.2017,18:01:00,28,
42916.83403,06.30.2017,20:01:00,24,
42916.91736,06.30.2017,22:01:00,20.5,
42917.00069,07.01.2017,00:01:00,19,
42917.08403,07.01.2017,02:01:00,17.5,
42917.16736,07.01.2017,04:01:00,16,
42917.25069,07.01.2017,06:01:00,14.5,
42917.33403,07.01.2017,08:01:00,17.5,
42917.41736,07.01.2017,10:01:00,21,
42917.50069,07.01.2017,12:01:00,31.5,
42917.58403,07.01.2017,14:01:00,36.5,
42917.66736,07.01.2017,16:01:00,36,
42917.75069,07.01.2017,18:01:00,29,
42917.83403,07.01.2017,20:01:00,25,
42917.91736,07.01.2017,22:01:00,21.5,
42918.00069,07.02.2017,00:01:00,19,
42918.08403,07.02.2017,02:01:00,17.5,
42918.16736,07.02.2017,04:01:00,16,
42918.25069,07.02.2017,06:01:00,15,
42918.33403,07.02.2017,08:01:00,18,
42918.41736,07.02.2017,10:01:00,22,
42918.50069,07.02.2017,12:01:00,31.5,
42918.58403,07.02.2017,14:01:00,38,
42918.66736,07.02.2017,16:01:00,36,
42918.75069,07.02.2017,18:01:00,29,
42918.83403,07.02.2017,20:01:00,24.5,
42918.91736,07.02.2017,22:01:00,21,
42919.00069,07.03.2017,00:01:00,19,
42919.08403,07.03.2017,02:01:00,16.5,
42919.16736,07.03.2017,04:01:00,15,
42919.25069,07.03.2017,06:01:00,14.5,
42919.33403,07.03.2017,08:01:00,17.5,
42919.41736,07.03.2017,10:01:00,22,
42919.50069,07.03.2017,12:01:00,30.5,
42919.58403,07.03.2017,14:01:00,32.5,
42919.66736,07.03.2017,16:01:00,28,
42919.75069,07.03.2017,18:01:00,24.5,
42919.83403,07.03.2017,20:01:00,21.5,
42919.91736,07.03.2017,22:01:00,18,
42920.00069,07.04.2017,00:01:00,16,
42920.08403,07.04.2017,02:01:00,14.5,
42920.16736,07.04.2017,04:01:00,13.5,
42920.25069,07.04.2017,06:01:00,13,
42920.33403,07.04.2017,08:01:00,16.5,
42920.41736,07.04.2017,10:01:00,21,
42920.50069,07.04.2017,12:01:00,30,
42920.58403,07.04.2017,14:01:00,36,
42920.66736,07.04.2017,16:01:00,35,
42920.75069,07.04.2017,18:01:00,28,
42920.83403,07.04.2017,20:01:00,23.5,
42920.91736,07.04.2017,22:01:00,19,
42921.00069,07.05.2017,00:01:00,16.5,
42921.08403,07.05.2017,02:01:00,15,
42921.16736,07.05.2017,04:01:00,14,
42921.25069,07.05.2017,06:01:00,13.5,
42921.33403,07.05.2017,08:01:00,16.5,
42921.41736,07.05.2017,10:01:00,21.5,
42921.50069,07.05.2017,12:01:00,32,
42921.58403,07.05.2017,14:01:00,39,
42921.66736,07.05.2017,16:01:00,37.5,
42921.75069,07.05.2017,18:01:00,29.5,
42921.83403,07.05.2017,20:01:00,24.5,
42921.91736,07.05.2017,22:01:00,20,
42922.00069,07.06.2017,00:01:00,18,
42922.08403,07.06.2017,02:01:00,16.5,
42922.16736,07.06.2017,04:01:00,15,
42922.25069,07.06.2017,06:01:00,14.5,
42922.33403,07.06.2017,08:01:00,18.5,
42922.41736,07.06.2017,10:01:00,23,
42922.50069,07.06.2017,12:01:00,34,
42922.58403,07.06.2017,14:01:00,41,
42922.66736,07.06.2017,16:01:00,39,
42922.75069,07.06.2017,18:01:00,31.5,
42922.83403,07.06.2017,20:01:00,26.5,
42922.91736,07.06.2017,22:01:00,22.5,
42923.00069,07.07.2017,00:01:00,20,
42923.08403,07.07.2017,02:01:00,18,
42923.16736,07.07.2017,04:01:00,17,
42923.25069,07.07.2017,06:01:00,16,
42923.33403,07.07.2017,08:01:00,19.5,
42923.41736,07.07.2017,10:01:00,24.5,
42923.50069,07.07.2017,12:01:00,33.5,
42923.58403,07.07.2017,14:01:00,34.5,
42923.66736,07.07.2017,16:01:00,28.5,
42923.75069,07.07.2017,18:01:00,28,
42923.83403,07.07.2017,20:01:00,24,
42923.91736,07.07.2017,22:01:00,20,
42924.00069,07.08.2017,00:01:00,18,
42924.08403,07.08.2017,02:01:00,16.5,
42924.16736,07.08.2017,04:01:00,16,
42924.25069,07.08.2017,06:01:00,15.5,
42924.33403,07.08.2017,08:01:00,18,
42924.41736,07.08.2017,10:01:00,22.5,
42924.50069,07.08.2017,12:01:00,31,
42924.58403,07.08.2017,14:01:00,37,
42924.66736,07.08.2017,16:01:00,34,
42924.75069,07.08.2017,18:01:00,29,
42924.83403,07.08.2017,20:01:00,25,
42924.91736,07.08.2017,22:01:00,20,
42925.00069,07.09.2017,00:01:00,17,
42925.08403,07.09.2017,02:01:00,16,
42925.16736,07.09.2017,04:01:00,16,
42925.25069,07.09.2017,06:01:00,16,
42925.33403,07.09.2017,08:01:00,19,
42925.41736,07.09.2017,10:01:00,21,
42925.50069,07.09.2017,12:01:00,27.5,
42925.58403,07.09.2017,14:01:00,38.5,
42925.66736,07.09.2017,16:01:00,38.5,
42925.75069,07.09.2017,18:01:00,30.5,
42925.83403,07.09.2017,20:01:00,25.5,
42925.91736,07.09.2017,22:01:00,21,
42926.00069,07.10.2017,00:01:00,18.5,
42926.08403,07.10.2017,02:01:00,17.5,
42926.16736,07.10.2017,04:01:00,16.5,
42926.25069,07.10.2017,06:01:00,15.5,
42926.33403,07.10.2017,08:01:00,17.5,
42926.41736,07.10.2017,10:01:00,21,
42926.50069,07.10.2017,12:01:00,28,
42926.58403,07.10.2017,14:01:00,32,
42926.66736,07.10.2017,16:01:00,32,
42926.75069,07.10.2017,18:01:00,27.5,
42926.83403,07.10.2017,20:01:00,23,
42926.91736,07.10.2017,22:01:00,20.5,
42927.00069,07.11.2017,00:01:00,19,
42927.08403,07.11.2017,02:01:00,18,
42927.16736,07.11.2017,04:01:00,17.5,
42927.25069,07.11.2017,06:01:00,16,
42927.33403,07.11.2017,08:01:00,18,
42927.41736,07.11.2017,10:01:00,22,
42927.50069,07.11.2017,12:01:00,29.5,
42927.58403,07.11.2017,14:01:00,34.5,
42927.66736,07.11.2017,16:01:00,33,
42927.75069,07.11.2017,18:01:00,28,
42927.83403,07.11.2017,20:01:00,23.5,
42927.91736,07.11.2017,22:01:00,19.5,
42928.00069,07.12.2017,00:01:00,17.5,
42928.08403,07.12.2017,02:01:00,16.5,
42928.16736,07.12.2017,04:01:00,16,
42928.25069,07.12.2017,06:01:00,14.5,
42928.33403,07.12.2017,08:01:00,17,
42928.41736,07.12.2017,10:01:00,22.5,
42928.50069,07.12.2017,12:01:00,32.5,
42928.58403,07.12.2017,14:01:00,40,
42928.66736,07.12.2017,16:01:00,38,
42928.75069,07.12.2017,18:01:00,30.5,
42928.83403,07.12.2017,20:01:00,25.5,
42928.91736,07.12.2017,22:01:00,22,
42929.00069,07.13.2017,00:01:00,19,
42929.08403,07.13.2017,02:01:00,17.5,
42929.16736,07.13.2017,04:01:00,15.5,
42929.25069,07.13.2017,06:01:00,14.5,
42929.33403,07.13.2017,08:01:00,18,
42929.41736,07.13.2017,10:01:00,22.5,
42929.50069,07.13.2017,12:01:00,32.5,
42929.58403,07.13.2017,14:01:00,40,
42929.66736,07.13.2017,16:01:00,36.5,
42929.75069,07.13.2017,18:01:00,29.5,
42929.83403,07.13.2017,20:01:00,24.5,
42929.91736,07.13.2017,22:01:00,20.5,
42930.00069,07.14.2017,00:01:00,17,
42930.08403,07.14.2017,02:01:00,15,
42930.16736,07.14.2017,04:01:00,13.5,
42930.25069,07.14.2017,06:01:00,13,
42930.33403,07.14.2017,08:01:00,16.5,
42930.41736,07.14.2017,10:01:00,22,
42930.50069,07.14.2017,12:01:00,32.5,
42930.58403,07.14.2017,14:01:00,40.5,
42930.66736,07.14.2017,16:01:00,39,
42930.75069,07.14.2017,18:01:00,31,
42930.83403,07.14.2017,20:01:00,25.5,
42930.91736,07.14.2017,22:01:00,21.5,
42931.00069,07.15.2017,00:01:00,20,
42931.08403,07.15.2017,02:01:00,18.5,
42931.16736,07.15.2017,04:01:00,17,
42931.25069,07.15.2017,06:01:00,16,
42931.33403,07.15.2017,08:01:00,19,
42931.41736,07.15.2017,10:01:00,23.5,
42931.50069,07.15.2017,12:01:00,34.5,
42931.58403,07.15.2017,14:01:00,41,
42931.66736,07.15.2017,16:01:00,38.5,
42931.75069,07.15.2017,18:01:00,30,
42931.83403,07.15.2017,20:01:00,24.5,
42931.91736,07.15.2017,22:01:00,20.5,
42932.00069,07.16.2017,00:01:00,18,
42932.08403,07.16.2017,02:01:00,16.5,
42932.16736,07.16.2017,04:01:00,15.5,
42932.25069,07.16.2017,06:01:00,15.5,
42932.33403,07.16.2017,08:01:00,16.5,
42932.41736,07.16.2017,10:01:00,21,
42932.50069,07.16.2017,12:01:00,25,
42932.58403,07.16.2017,14:01:00,30.5,
42932.66736,07.16.2017,16:01:00,29.5,
42932.75069,07.16.2017,18:01:00,25,
42932.83403,07.16.2017,20:01:00,21,
42932.91736,07.16.2017,22:01:00,18.5,
42933.00069,07.17.2017,00:01:00,16.5,
42933.08403,07.17.2017,02:01:00,16,
42933.16736,07.17.2017,04:01:00,14,
42933.25069,07.17.2017,06:01:00,13,
42933.33403,07.17.2017,08:01:00,15,
42933.41736,07.17.2017,10:01:00,19.5,
42933.50069,07.17.2017,12:01:00,25.5,
42933.58403,07.17.2017,14:01:00,30.5,
42933.66736,07.17.2017,16:01:00,29.5,
42933.75069,07.17.2017,18:01:00,25,
42933.83403,07.17.2017,20:01:00,21,
42933.91736,07.17.2017,22:01:00,16.5,
42934.00069,07.18.2017,00:01:00,14.5,
42934.08403,07.18.2017,02:01:00,13.5,
42934.16736,07.18.2017,04:01:00,12,
42934.25069,07.18.2017,06:01:00,11.5,
42934.33403,07.18.2017,08:01:00,14.5,
42934.41736,07.18.2017,10:01:00,20,
42934.50069,07.18.2017,12:01:00,29,
42934.58403,07.18.2017,14:01:00,36,
42934.66736,07.18.2017,16:01:00,35,
42934.75069,07.18.2017,18:01:00,29,
42934.83403,07.18.2017,20:01:00,24,
42934.91736,07.18.2017,22:01:00,19,
42935.00069,07.19.2017,00:01:00,16.5,
42935.08403,07.19.2017,02:01:00,15,
42935.16736,07.19.2017,04:01:00,14,
42935.25069,07.19.2017,06:01:00,13.5,
42935.33403,07.19.2017,08:01:00,16.5,
42935.41736,07.19.2017,10:01:00,21,
42935.50069,07.19.2017,12:01:00,27.5,
42935.58403,07.19.2017,14:01:00,36,
42935.66736,07.19.2017,16:01:00,35.5,
42935.75069,07.19.2017,18:01:00,28.5,
42935.83403,07.19.2017,20:01:00,24.5,
42935.91736,07.19.2017,22:01:00,21.5,
42936.00069,07.20.2017,00:01:00,20,
42936.08403,07.20.2017,02:01:00,19,
42936.16736,07.20.2017,04:01:00,17.5,
42936.25069,07.20.2017,06:01:00,16.5,
42936.33403,07.20.2017,08:01:00,16.5,
42936.41736,07.20.2017,10:01:00,21,
42936.50069,07.20.2017,12:01:00,26.5,
42936.58403,07.20.2017,14:01:00,22.5,
42936.66736,07.20.2017,16:01:00,20,
42936.75069,07.20.2017,18:01:00,19,
42936.83403,07.20.2017,20:01:00,17,
42936.91736,07.20.2017,22:01:00,16,
42937.00069,07.21.2017,00:01:00,14.5,
42937.08403,07.21.2017,02:01:00,13.5,
42937.16736,07.21.2017,04:01:00,13.5,
42937.25069,07.21.2017,06:01:00,13.5,
42937.33403,07.21.2017,08:01:00,15,
42937.41736,07.21.2017,10:01:00,18,
42937.50069,07.21.2017,12:01:00,24,
42937.58403,07.21.2017,14:01:00,24.5,
42937.66736,07.21.2017,16:01:00,23,
42937.75069,07.21.2017,18:01:00,21,
42937.83403,07.21.2017,20:01:00,19,
42937.91736,07.21.2017,22:01:00,16.5,
42938.00069,07.22.2017,00:01:00,16,
42938.08403,07.22.2017,02:01:00,15,
42938.16736,07.22.2017,04:01:00,14,
42938.25069,07.22.2017,06:01:00,14.5,
42938.33403,07.22.2017,08:01:00,15.5,
42938.41736,07.22.2017,10:01:00,17.5,
42938.50069,07.22.2017,12:01:00,24,
42938.58403,07.22.2017,14:01:00,27.5,
42938.66736,07.22.2017,16:01:00,28.5,
42938.75069,07.22.2017,18:01:00,24,
42938.83403,07.22.2017,20:01:00,21,
42938.91736,07.22.2017,22:01:00,18.5,
42939.00069,07.23.2017,00:01:00,17,
42939.08403,07.23.2017,02:01:00,15.5,
42939.16736,07.23.2017,04:01:00,14.5,
42939.25069,07.23.2017,06:01:00,13.5,
42939.33403,07.23.2017,08:01:00,15.5,
42939.41736,07.23.2017,10:01:00,19.5,
42939.50069,07.23.2017,12:01:00,27,
42939.58403,07.23.2017,14:01:00,33,
42939.66736,07.23.2017,16:01:00,26.5,
42939.75069,07.23.2017,18:01:00,23.5,
42939.83403,07.23.2017,20:01:00,20,
42939.91736,07.23.2017,22:01:00,16.5,
42940.00069,07.24.2017,00:01:00,14.5,
42940.08403,07.24.2017,02:01:00,13.5,
42940.16736,07.24.2017,04:01:00,12.5,
42940.25069,07.24.2017,06:01:00,11.5,
42940.33403,07.24.2017,08:01:00,14,
42940.41736,07.24.2017,10:01:00,17.5,
42940.50069,07.24.2017,12:01:00,24,
42940.58403,07.24.2017,14:01:00,31.5,
42940.66736,07.24.2017,16:01:00,30,
42940.75069,07.24.2017,18:01:00,24.5,
42940.83403,07.24.2017,20:01:00,21,
42940.91736,07.24.2017,22:01:00,17,
42941.00069,07.25.2017,00:01:00,15.5,
42941.08403,07.25.2017,02:01:00,14,
42941.16736,07.25.2017,04:01:00,13,
42941.25069,07.25.2017,06:01:00,12.5,
42941.33403,07.25.2017,08:01:00,14.5,
42941.41736,07.25.2017,10:01:00,18.5,
42941.50069,07.25.2017,12:01:00,27.5,
42941.58403,07.25.2017,14:01:00,34,
42941.66736,07.25.2017,16:01:00,32.5,
42941.75069,07.25.2017,18:01:00,27,
42941.83403,07.25.2017,20:01:00,23,
42941.91736,07.25.2017,22:01:00,19,
42942.00069,07.26.2017,00:01:00,17,
42942.08403,07.26.2017,02:01:00,15.5,
42942.16736,07.26.2017,04:01:00,14.5,
42942.25069,07.26.2017,06:01:00,14,
42942.33403,07.26.2017,08:01:00,16.5,
42942.41736,07.26.2017,10:01:00,20.5,
42942.50069,07.26.2017,12:01:00,30,
42942.58403,07.26.2017,14:01:00,34.5,
42942.66736,07.26.2017,16:01:00,34.5,
42942.75069,07.26.2017,18:01:00,27.5,
42942.83403,07.26.2017,20:01:00,24,
42942.91736,07.26.2017,22:01:00,21,
42943.00069,07.27.2017,00:01:00,19,
42943.08403,07.27.2017,02:01:00,18,
42943.16736,07.27.2017,04:01:00,16,
42943.25069,07.27.2017,06:01:00,15,
42943.33403,07.27.2017,08:01:00,16.5,
42943.41736,07.27.2017,10:01:00,22,
42943.50069,07.27.2017,12:01:00,30,
42943.58403,07.27.2017,14:01:00,35,
42943.66736,07.27.2017,16:01:00,33.5,
42943.75069,07.27.2017,18:01:00,28,
42943.83403,07.27.2017,20:01:00,23.5,
42943.91736,07.27.2017,22:01:00,20,
42944.00069,07.28.2017,00:01:00,17.5,
42944.08403,07.28.2017,02:01:00,16,
42944.16736,07.28.2017,04:01:00,15,
42944.25069,07.28.2017,06:01:00,14,
42944.33403,07.28.2017,08:01:00,17,
42944.41736,07.28.2017,10:01:00,21.5,
42944.50069,07.28.2017,12:01:00,30,
42944.58403,07.28.2017,14:01:00,36.5,
42944.66736,07.28.2017,16:01:00,34.5,
42944.75069,07.28.2017,18:01:00,28.5,
42944.83403,07.28.2017,20:01:00,24,
42944.91736,07.28.2017,22:01:00,20,
42945.00069,07.29.2017,00:01:00,17.5,
42945.08403,07.29.2017,02:01:00,16,
42945.16736,07.29.2017,04:01:00,15,
42945.25069,07.29.2017,06:01:00,14,
42945.33403,07.29.2017,08:01:00,17,
42945.41736,07.29.2017,10:01:00,21.5,
42945.50069,07.29.2017,12:01:00,31.5,
42945.58403,07.29.2017,14:01:00,39.5,
42945.66736,07.29.2017,16:01:00,37.5,
42945.75069,07.29.2017,18:01:00,30.5,
42945.83403,07.29.2017,20:01:00,25.5,
42945.91736,07.29.2017,22:01:00,22,
42946.00069,07.30.2017,00:01:00,20.5,
42946.08403,07.30.2017,02:01:00,19.5,
42946.16736,07.30.2017,04:01:00,18.5,
42946.25069,07.30.2017,06:01:00,17,
42946.33403,07.30.2017,08:01:00,19,
42946.41736,07.30.2017,10:01:00,23.5,
42946.50069,07.30.2017,12:01:00,33.5,
